"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.197027000E0,1.982627106E0,-3.974085846E0,-5.557493134E0
1.207070000E0,2.271975403E0,-4.119732971E0,-3.116818542E0
1.217112000E0,2.989882507E0,-7.077432404E0,-1.649420013E0
1.227154000E0,5.170398102E0,-2.157822784E1,-8.881331177E0
1.237197000E0,2.704426117E0,-2.076691498E1,-2.672392731E0
1.247239000E0,1.628164215E0,-1.926942902E1,5.981411591E0
1.257282000E0,1.850901031E0,-2.037009018E1,8.265062714E0
1.267324000E0,2.425556030E0,-2.180844910E1,6.671925659E0
1.277367000E0,2.414179688E0,-2.273053162E1,3.433559875E0
1.287409000E0,1.005908203E0,-1.853790024E1,2.070494385E0
1.297452000E0,1.236279144E0,-1.375624374E1,3.451073456E0
1.307494000E0,1.592837677E0,-1.118818405E1,5.170697479E0
1.317536000E0,1.297501831E0,-8.546627197E0,4.006268921E0
1.327579000E0,1.075363770E0,-6.836882629E0,1.503772888E0
1.337621000E0,7.171586609E-1,-6.549779663E0,7.623646545E-1
1.347664000E0,2.139051819E-1,-7.455995178E0,1.015488281E0
1.357706000E0,-2.915936279E-1,-8.440348206E0,2.038760376E-1
1.367749000E0,-7.705975342E-1,-9.311087494E0,-5.510041809E-1
1.377791000E0,-1.284778290E0,-1.031998947E1,-1.684896240E0
1.387834000E0,-1.764680328E0,-1.125015518E1,-2.652633820E0
1.397876000E0,-1.781744843E0,-1.128188919E1,-2.751428375E0
1.407919000E0,-1.575922852E0,-1.049108368E1,-3.787873077E0
1.417961000E0,-1.221459961E0,-9.573491821E0,-3.343297577E0
1.428003000E0,-1.179996185E0,-9.382339325E0,-2.217339020E0
1.438046000E0,-1.325792999E0,-9.865684204E0,-1.620081024E0
1.448088000E0,-1.500030670E0,-1.048883835E1,-9.726773071E-1
1.458131000E0,-1.485211487E0,-1.111648315E1,-5.722599792E-1
1.468173000E0,-1.775906982E0,-1.195309341E1,-3.529660034E-1
1.478216000E0,-2.325114899E0,-1.267354523E1,-6.818321228E-1
1.488258000E0,-2.833906860E0,-1.311587540E1,-9.645941162E-1
1.498301000E0,-3.095113678E0,-1.326751007E1,-1.109343109E0
1.508343000E0,-3.309767303E0,-1.351359833E1,-1.925595703E0
1.518386000E0,-3.617227936E0,-1.399589539E1,-1.147962799E0
1.528428000E0,-3.818110199E0,-1.401266052E1,-5.207670593E-1
1.538470000E0,-4.402494965E0,-1.352692062E1,-2.228865051E-1
1.548513000E0,-5.001549225E0,-1.321556808E1,4.581971741E-1
1.558555000E0,-5.076992340E0,-1.269240601E1,2.443668365E0
1.568598000E0,-5.200485535E0,-1.425395874E1,1.764680328E0
1.578640000E0,-4.652924194E0,-1.321047867E1,3.149450684E-1
1.588683000E0,-4.290378113E0,-1.232521957E1,-5.837860107E-1
1.598725000E0,-3.209924927E0,-1.161090500E1,5.830375671E-1
1.608768000E0,-2.751428375E0,-1.023451721E1,1.874252472E0
1.618810000E0,-3.461102600E0,-1.004695724E1,3.635040894E0
1.628852000E0,-4.386178894E0,-1.029169830E1,3.913910980E0
1.638895000E0,-5.147346039E0,-1.000714005E1,2.687211914E0
1.648937000E0,-5.182672577E0,-9.998158722E0,1.941163330E0
1.658980000E0,-4.559368744E0,-9.710157623E0,1.942360840E0
1.669022000E0,-3.312162323E0,-9.790390778E0,1.679208069E0
1.679065000E0,-2.860701141E0,-9.757459259E0,1.915267181E0
1.689107000E0,-2.029329987E0,-1.111723160E1,1.515598297E0
1.699150000E0,-1.938019867E0,-1.095227463E1,1.115630035E0
1.709192000E0,-2.914439392E0,-1.050395691E1,1.930086365E0
1.719234000E0,-3.259322205E0,-1.008213409E1,2.843337250E0
1.729277000E0,-3.547622681E0,-9.280251617E0,2.916385345E0
1.739319000E0,-3.298241272E0,-9.270372162E0,1.895208893E0
1.749362000E0,-2.878514099E0,-9.267977142E0,2.012714539E0
1.759404000E0,-2.365530853E0,-8.819210358E0,2.391427002E0
1.769447000E0,-1.802252197E0,-7.796387329E0,1.913470917E0
1.779489000E0,-1.743873596E0,-5.974076843E0,1.952090607E0
1.789532000E0,-2.167193298E0,-5.580245819E0,3.199297028E0
1.799574000E0,-2.411036224E0,-6.248755646E0,3.596271515E0
1.809617000E0,-2.990331573E0,-7.018005981E0,3.160976715E0
1.819659000E0,-3.148402863E0,-7.941735077E0,2.852318573E0
1.829701000E0,-3.309617615E0,-8.270451508E0,2.629132690E0
1.839744000E0,-3.388802948E0,-8.374485168E0,2.379302216E0
1.849786000E0,-3.443439331E0,-7.702682190E0,1.709295502E0
1.859829000E0,-3.736080780E0,-7.146887970E0,1.285377045E0
1.869871000E0,-4.341272278E0,-6.700516205E0,1.242715759E0
1.879914000E0,-4.415517883E0,-6.086942139E0,8.222401428E-1
1.889956000E0,-4.304897919E0,-5.759273529E0,4.852908325E-1
1.899999000E0,-4.674329681E0,-6.814129944E0,3.046165466E-1
1.910041000E0,-5.313500519E0,-7.657625885E0,5.685177612E-1
1.920084000E0,-6.025120697E0,-9.664801941E0,8.746311951E-1
1.930126000E0,-7.199129333E0,-1.122216339E1,1.995799713E0
1.940168000E0,-8.440497894E0,-1.170550827E1,3.780987396E0
1.950211000E0,-8.597072296E0,-1.217208801E1,3.452121277E0
1.960253000E0,-7.536527710E0,-1.228465393E1,2.526745605E0
1.970296000E0,-6.204447784E0,-1.254690857E1,2.568658447E0
1.980338000E0,-5.066214752E0,-1.249107468E1,2.837948456E0
1.990381000E0,-4.432133331E0,-1.236144424E1,3.273692322E0
2.000423000E0,-4.177213440E0,-1.193602890E1,4.014651489E0
2.010466000E0,-4.312382355E0,-1.117546051E1,5.220843201E0
2.020508000E0,-5.156177673E0,-1.126242966E1,5.602100372E0
2.030551000E0,-6.079457703E0,-1.197659454E1,5.364394684E0
2.040593000E0,-6.865772552E0,-1.226669128E1,5.313051453E0
2.050635000E0,-7.115004272E0,-1.264899628E1,4.468807068E0
2.060678000E0,-7.002138977E0,-1.289957520E1,3.319048004E0
2.070720000E0,-6.793323212E0,-1.264480499E1,2.328258362E0
2.080763000E0,-6.869963837E0,-1.252026398E1,1.889371033E0
2.090805000E0,-6.824757843E0,-1.243344452E1,1.725761261E0
2.100848000E0,-6.556665344E0,-1.189187073E1,1.731599121E0
2.110890000E0,-6.278992767E0,-1.149714157E1,2.213596802E0
2.120933000E0,-6.066734161E0,-1.122785156E1,2.644850006E0
2.130975000E0,-5.831573181E0,-1.082279388E1,2.521057434E0
2.141017000E0,-5.504952393E0,-1.020143600E1,2.585273895E0
2.151064375E0,-5.080285492E0,-9.444909210E0,2.688559113E0
2.161106375E0,-4.424349518E0,-8.774303741E0,2.373015289E0
2.171149375E0,-3.828588409E0,-7.937693481E0,2.211950226E0
2.181191375E0,-3.379522247E0,-7.511380005E0,2.217488708E0
2.191234375E0,-3.019221497E0,-7.592660980E0,2.042652283E0
2.201276375E0,-2.828667755E0,-7.346872101E0,1.832639008E0
2.211319375E0,-2.639760590E0,-6.862030334E0,1.917662201E0
2.221361375E0,-2.417023773E0,-6.516997833E0,1.764231262E0
2.231404375E0,-2.270029449E0,-6.346951447E0,1.629960480E0
2.241446375E0,-2.293530579E0,-6.610253906E0,1.619033203E0
2.251488375E0,-2.420616302E0,-7.164700928E0,1.452130280E0
2.261531375E0,-2.337089996E0,-7.025191040E0,1.388961639E0
2.271573375E0,-2.026485901E0,-6.987020416E0,1.719174957E0
2.281616375E0,-1.995500336E0,-8.051157532E0,2.139500885E0
2.291658375E0,-2.181413727E0,-8.644373932E0,2.196532288E0
2.301701375E0,-2.258204041E0,-8.298592987E0,2.323767700E0
2.311743375E0,-2.108665009E0,-8.303233337E0,2.554587708E0
2.321786375E0,-2.365979919E0,-8.472680969E0,2.373015289E0
