"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.272730958E0,9.368418274E0,-1.488354950E0,-5.654341736E0
2.282771958E0,1.043345352E1,-2.318378906E0,-5.880820770E0
2.292811958E0,1.051847672E1,-3.051404572E0,-5.446873169E0
2.302852958E0,9.737700348E0,-3.381318512E0,-5.388344879E0
2.312892958E0,8.814420319E0,-3.359463959E0,-5.540727997E0
2.322933958E0,7.648644562E0,-2.752925262E0,-5.591771851E0
2.332973958E0,6.669830017E0,-2.183808746E0,-4.927004242E0
2.343014958E0,6.499184875E0,-2.242935791E0,-4.885690155E0
2.353054958E0,7.168742523E0,-2.116897888E0,-5.218448181E0
2.363095958E0,8.165819092E0,-1.974992981E0,-4.989574127E0
2.373135958E0,8.585845642E0,-1.709295502E0,-4.441713409E0
2.383176958E0,8.175548859E0,-7.454498291E-1,-4.142335968E0
2.393217958E0,7.740852814E0,3.046165466E-1,-4.084406433E0
2.403257958E0,7.126530304E0,2.234852600E-1,-4.059109039E0
2.413298958E0,6.311624908E0,-4.544549561E-1,-3.255280609E0
2.423338958E0,6.013594666E0,-1.402433624E0,-2.146985321E0
2.433379958E0,5.966442719E0,-2.359992371E0,-1.995949402E0
2.443419958E0,5.564229126E0,-2.814147949E0,-2.117496643E0
2.453460958E0,4.965923309E0,-2.992576904E0,-1.275497589E0
2.463500958E0,4.780159607E0,-2.657274170E0,-1.712738342E0
2.473541958E0,4.613855438E0,-7.138655090E-1,-2.837349701E0
2.483582958E0,3.626059570E0,-7.108717346E-1,-3.053051147E0
2.493622958E0,2.806663513E0,-1.491797791E0,-2.826871490E0
2.503663958E0,1.697021027E0,-2.943479004E0,-4.846920776E0
2.513703958E0,1.407672729E0,-6.722221069E0,-1.007914032E1
2.523744958E0,1.141675873E0,-8.358767853E0,-8.729546814E0
2.533784958E0,1.309476929E0,-7.792046356E0,-1.871109009E0
2.543825958E0,2.861000519E0,-7.966284027E0,2.308050385E0
2.553865958E0,4.476291504E0,-7.855214996E0,4.297712860E0
2.563906958E0,3.970343628E0,-8.828640747E0,3.096161499E0
2.573946958E0,1.326391754E0,-9.644743652E0,2.827619934E0
2.583987958E0,3.523672485E-1,-7.421117706E0,3.039579163E0
2.594028958E0,4.888833618E-1,-6.510860596E0,2.652933197E0
2.604068958E0,1.071322174E0,-7.300917664E0,2.511177979E0
2.614109958E0,1.343306580E0,-8.458610229E0,1.708547058E0
2.624149958E0,1.823058929E0,-9.945168915E0,-4.382885742E-1
2.634190958E0,2.928061066E0,-1.054422318E1,-3.938310242E0
2.644230417E0,4.005071411E0,-1.040276733E1,-6.870412903E0
