"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.301152917E0,3.014281769E0,-9.715247040E0,8.008346558E-2
4.311195917E0,3.276536407E0,-1.003183868E1,1.078956299E0
4.321239917E0,3.385958862E0,-1.009111542E1,1.791324921E0
4.331282917E0,3.060535583E0,-9.752818909E0,1.788630524E0
4.341325917E0,2.243684235E0,-9.122928772E0,1.112935638E0
4.351368917E0,1.191222839E0,-8.574319611E0,2.490820312E-1
4.361411917E0,1.184037781E-1,-8.389603729E0,-2.128573608E-1
4.371455917E0,-9.163943481E-1,-8.377928009E0,-2.601589966E-1
4.381498917E0,-1.880389709E0,-8.364306335E0,-3.162922668E-1
4.391541917E0,-2.771636353E0,-8.326734467E0,-3.110531616E-1
4.401584917E0,-3.352877655E0,-8.326285400E0,-1.475930786E-1
4.411628917E0,-3.547622681E0,-8.324189758E0,1.182540894E-1
4.421671917E0,-3.191513214E0,-8.469238129E0,5.179229736E-1
4.431714917E0,-2.131268005E0,-8.985364838E0,9.198371887E-1
4.441757917E0,-8.295748901E-1,-9.967322845E0,1.457668762E0
4.451800917E0,2.674937439E-1,-1.097008759E1,1.833387451E0
4.461844917E0,1.166524200E0,-1.194845306E1,1.657802582E0
4.471887917E0,2.016606445E0,-1.268581970E1,8.666976929E-1
4.481930917E0,2.748135223E0,-1.302710999E1,2.365081787E-2
4.491973917E0,3.116369476E0,-1.302187088E1,-3.766168213E-1
4.502016917E0,2.970722351E0,-1.292083099E1,-2.799179077E-1
4.512060917E0,2.389481049E0,-1.278491364E1,1.646575928E-2
4.522103917E0,1.568737793E0,-1.236623428E1,1.423539734E-1
4.532146917E0,7.131170654E-1,-1.178604080E1,-5.254074097E-2
4.542189917E0,9.924362183E-2,-1.137888748E1,-5.899232483E-1
4.552233917E0,6.212081909E-2,-1.148771118E1,-1.288370819E0
4.562276917E0,9.178912354E-1,-1.240215958E1,-1.541344757E0
4.572319917E0,2.420167236E0,-1.424991714E1,-6.077362061E-1
4.582362917E0,3.940106506E0,-1.612716339E1,1.239721985E0
4.592405917E0,5.193749542E0,-1.677696213E1,2.322869568E0
4.602449917E0,6.118526459E0,-1.624197464E1,2.983445892E0
4.612492917E0,6.055058441E0,-1.496483047E1,3.205434265E0
4.622535917E0,4.465513916E0,-1.346674576E1,2.306403809E0
4.632578917E0,1.938019867E0,-1.188917633E1,8.312214661E-1
4.642622917E0,-6.327342224E-1,-1.024813889E1,5.134323120E-2
4.652665917E0,-2.587818604E0,-9.704020386E0,-2.101629639E-1
4.662708917E0,-3.526815948E0,-1.061337936E1,2.912942505E-1
4.672751917E0,-3.584296417E0,-1.258403137E1,1.970202942E0
4.682794917E0,-3.121758270E0,-1.410247375E1,3.509452057E0
4.692838917E0,-3.016527100E0,-1.503757919E1,4.434827728E0
4.702881917E0,-3.426225128E0,-1.538680298E1,5.332061920E0
4.712924917E0,-4.041595459E0,-1.516930527E1,5.812712402E0
4.722967917E0,-4.486170959E0,-1.455064178E1,6.874604187E0
4.733010917E0,-3.927981720E0,-1.270737488E1,7.070397034E0
4.743054917E0,-3.454516296E0,-1.003109024E1,3.945495300E0
4.753097917E0,-2.820285187E0,-7.835755463E0,-2.257305908E-1
4.763140917E0,-1.611399078E0,-6.868766327E0,-2.613864441E0
4.773183917E0,-1.811233521E-1,-6.878346405E0,-3.033441925E0
4.783227917E0,1.191372528E0,-7.429799652E0,-1.904788971E0
4.793270917E0,2.116598511E0,-7.983198853E0,-6.810836792E-1
4.803313917E0,2.023641815E0,-7.933651886E0,-6.722520447E-1
4.813356917E0,1.105301514E0,-7.119794312E0,-5.733078003E-1
4.823399917E0,2.930905151E-1,-6.227050781E0,-1.886077881E-1
4.833443917E0,-2.715353394E-1,-6.442901917E0,9.377998352E-1
4.843486917E0,-8.309220886E-1,-6.765331421E0,1.388811951E0
4.853529917E0,-1.391506348E0,-6.743327179E0,1.004411316E0
4.863572917E0,-1.832788696E0,-6.585704956E0,1.177750854E0
4.873615917E0,-2.124681702E0,-6.190676422E0,1.483115845E0
4.883659917E0,-2.263892212E0,-5.615572357E0,1.290765839E0
4.893702917E0,-2.171384583E0,-4.777165833E0,1.249751129E0
4.903745917E0,-2.053280182E0,-3.917204132E0,9.773176575E-1
4.913788917E0,-1.999990997E0,-3.173251190E0,2.770738220E-1
4.923832917E0,-2.078128510E0,-2.780318298E0,-8.063731384E-1
4.933875917E0,-2.133962402E0,-2.666105804E0,-1.612446899E0
4.943918917E0,-2.131567383E0,-2.779270477E0,-2.058070221E0
4.953961917E0,-2.071093140E0,-3.002306671E0,-2.531984711E0
4.964004917E0,-1.942061462E0,-3.631897430E0,-2.735261993E0
4.974048917E0,-1.700912933E0,-4.617597656E0,-3.343896332E0
4.984091917E0,-1.356628876E0,-6.058501282E0,-4.621190186E0
4.994134917E0,-1.050216064E0,-8.045768738E0,-5.685626678E0
5.004177917E0,-8.605604553E-1,-1.025906616E1,-6.128854980E0
5.014220917E0,-8.110134888E-1,-1.238120316E1,-5.832321625E0
5.024264917E0,-8.128097534E-1,-1.408960052E1,-6.824608154E0
5.034307917E0,-9.765692139E-1,-1.503219040E1,-9.043144684E0
5.044350917E0,-9.601034546E-1,-1.518951324E1,-1.055395294E1
5.054393917E0,-1.098116455E0,-1.447250427E1,-1.044258453E1
5.064437917E0,-1.603914642E0,-1.275752060E1,-8.696166229E0
5.074480917E0,-2.189047852E0,-1.050725006E1,-6.547384644E0
5.084523917E0,-2.612217865E0,-8.455616455E0,-5.626799011E0
5.094566917E0,-2.628234558E0,-6.804400177E0,-5.424270172E0
5.104609917E0,-2.235151978E0,-5.547314301E0,-5.580545197E0
5.114653917E0,-1.495390320E0,-4.403393097E0,-5.287005615E0
5.124696917E0,-5.629792786E-1,-3.482059021E0,-5.214256897E0
5.134739917E0,-1.287322998E-1,-3.018622742E0,-6.081852722E0
5.144782917E0,-3.830534363E-1,-3.359314270E0,-7.413333893E0
5.154826917E0,-1.157542877E0,-4.951403503E0,-6.187383270E0
5.164869917E0,-2.570754089E0,-6.784042511E0,-1.881587219E-1
5.174912917E0,-3.851939850E0,-8.996142426E0,2.834505615E0
5.184955917E0,-5.189258881E0,-1.499955826E1,4.912783813E-1
5.194998917E0,-7.283553772E0,-2.654504929E1,-8.812174988E-1
5.205038875E0,-7.790250092E0,-3.423785202E1,1.957928467E0
5.215081875E0,-6.540349274E0,-3.265698944E1,6.647077332E0
5.225124875E0,-5.058281250E0,-2.335593109E1,1.132993927E1
5.235167875E0,-3.540287933E0,-1.089150101E1,9.611961823E0
5.245210875E0,-2.763104095E0,-4.540507965E0,6.810537415E0
5.255254875E0,-1.714384918E0,-1.257684631E0,3.976031799E0
5.265297875E0,-3.580554199E-1,-3.996688843E-2,2.424358521E0
5.275340875E0,7.626640320E-1,-5.231620789E-1,2.218087463E0
5.285383875E0,1.371747437E0,-1.595532074E0,1.993404694E0
5.295427875E0,1.688788147E0,-3.668271790E0,1.839225311E0
5.305470875E0,1.842817841E0,-6.118227081E0,5.318440247E-1
5.315513875E0,2.194286957E0,-8.471782837E0,-1.010548553E0
5.325556875E0,2.548300781E0,-1.127260849E1,-2.649939423E0
5.335599875E0,1.650467834E0,-1.329684906E1,-2.797233124E0
5.345643875E0,7.918533325E-2,-1.312291077E1,-1.293310547E0
5.355686875E0,-8.933422852E-1,-1.177481415E1,2.207908630E-1
5.365729875E0,-1.354084167E0,-1.002809647E1,1.163530426E0
5.375772875E0,-1.474284210E0,-8.443192291E0,1.196012878E0
5.385815875E0,-1.131197662E0,-7.519014130E0,1.087039490E0
5.395859875E0,-6.442602539E-1,-7.279512177E0,1.100960541E0
5.405902875E0,-1.199006653E-1,-7.710615692E0,1.103205872E0
5.415945875E0,4.478686523E-1,-8.315507812E0,7.285350037E-1
5.425988875E0,1.062640228E0,-8.757987671E0,1.862127686E-1
5.436031875E0,1.686692505E0,-9.133257294E0,-3.147953796E-1
5.446075875E0,2.222278748E0,-9.503736877E0,-4.968168640E-1
5.456118875E0,2.581232300E0,-9.685309296E0,-3.409909058E-1
5.466161875E0,2.830314331E0,-9.798623657E0,1.258882141E-1
5.476204875E0,2.859503632E0,-9.884395294E0,6.328839111E-1
5.486248875E0,2.618804169E0,-9.893675995E0,9.651928711E-1
5.496291875E0,2.082170105E0,-9.768985291E0,9.021739197E-1
5.506334875E0,1.338366852E0,-9.480086060E0,6.405180359E-1
5.516377875E0,4.923262024E-1,-9.273066559E0,4.207749939E-1
5.526420875E0,-4.182302856E-1,-9.084458771E0,2.990780640E-1
5.536464875E0,-1.253493347E0,-8.919501801E0,2.658471680E-1
5.546507875E0,-1.934427338E0,-8.726253662E0,2.775228882E-1
5.556550875E0,-2.404449921E0,-8.530460815E0,3.429368591E-1
5.566593875E0,-2.609224091E0,-8.361162872E0,4.185296631E-1
5.576636875E0,-2.442021790E0,-8.403973846E0,5.950126648E-1
5.586680875E0,-1.826801147E0,-8.581504669E0,8.331674194E-1
5.596723875E0,-8.767268372E-1,-9.046138458E0,1.108145599E0
5.606766875E0,-4.311035156E-2,-9.895472260E0,1.268162842E0
5.616809875E0,4.707710266E-1,-1.103400467E1,1.238674164E0
5.626853875E0,8.466394043E-1,-1.196132629E1,9.575587463E-1
5.636896875E0,1.227746887E0,-1.244871277E1,3.891906738E-1
5.646939875E0,1.458716583E0,-1.257400223E1,-2.251318359E-1
5.656982875E0,1.457668762E0,-1.253223907E1,-4.502636719E-1
5.667025875E0,1.159488831E0,-1.253972351E1,-2.233355713E-1
5.677069875E0,6.577322388E-1,-1.240530304E1,1.401086426E-1
5.687112875E0,1.978884888E-1,-1.196476913E1,1.853146362E-1
5.697155875E0,-7.828720093E-2,-1.152498367E1,-1.276844788E-1
5.707198875E0,-1.604663086E-1,-1.130344437E1,-8.551716614E-1
5.717241875E0,-8.202941895E-2,-1.148935776E1,-1.648671570E0
5.727285875E0,4.342469788E-1,-1.219753510E1,-2.033820648E0
